"Country","Day","Confirmed","Deaths","Recovered"
"Czechia",1,91,0,0
"Czechia",2,94,0,0
"Czechia",3,141,0,0
"Czechia",4,189,0,0
"Czechia",5,253,0,0
"Czechia",6,298,0,3
"Czechia",7,396,0,3
"Czechia",8,464,0,3
"Czechia",9,694,0,3
"Czechia",10,833,0,4
"Czechia",11,995,0,6
"Czechia",12,1120,1,6
"Czechia",13,1236,1,7
"Czechia",14,1394,3,10
"Czechia",15,1654,6,10
"Czechia",16,1925,9,10
"Czechia",17,2279,9,11
"Czechia",18,2631,11,11
"Czechia",19,2817,16,11
"Czechia",20,3001,23,25
"Czechia",21,3308,31,45
"Czechia",22,3508,39,61
