"Country","Day","Confirmed","Deaths","Recovered"
"Tanzania",1,1,0,0
"Tanzania",2,1,0,0
"Tanzania",3,3,0,0
"Tanzania",4,6,0,0
"Tanzania",5,6,0,0
"Tanzania",6,6,0,0
"Tanzania",7,12,0,0
"Tanzania",8,12,0,0
"Tanzania",9,12,0,0
"Tanzania",10,12,0,0
"Tanzania",11,13,0,0
"Tanzania",12,13,0,1
"Tanzania",13,14,0,1
"Tanzania",14,14,0,1
"Tanzania",15,19,0,1
"Tanzania",16,19,1,1
"Tanzania",17,20,1,1
"Tanzania",18,20,1,2
"Tanzania",19,20,1,3
"Tanzania",20,20,1,3
"Tanzania",21,22,1,3
"Tanzania",22,24,1,3
"Tanzania",23,24,1,5
"Tanzania",24,25,1,5
"Tanzania",25,25,1,5
"Tanzania",26,32,3,5
"Tanzania",27,32,3,5
"Tanzania",28,32,3,5
"Tanzania",29,49,3,7
"Tanzania",30,53,3,7
"Tanzania",31,88,4,11
"Tanzania",32,94,4,11
