"Country","Day","Confirmed","Deaths","Recovered"
"Ethiopia",1,1,0,0
"Ethiopia",2,1,0,0
"Ethiopia",3,1,0,0
"Ethiopia",4,5,0,0
"Ethiopia",5,5,0,0
"Ethiopia",6,6,0,0
"Ethiopia",7,6,0,0
"Ethiopia",8,9,0,0
"Ethiopia",9,9,0,0
"Ethiopia",10,11,0,0
"Ethiopia",11,11,0,0
"Ethiopia",12,12,0,0
"Ethiopia",13,12,0,0
"Ethiopia",14,12,0,0
"Ethiopia",15,16,0,0
"Ethiopia",16,16,0,1
"Ethiopia",17,21,0,1
"Ethiopia",18,23,0,4
"Ethiopia",19,26,0,2
"Ethiopia",20,29,0,2
"Ethiopia",21,29,0,3
"Ethiopia",22,35,0,3
"Ethiopia",23,38,0,4
"Ethiopia",24,43,2,4
"Ethiopia",25,44,2,4
"Ethiopia",26,52,2,4
"Ethiopia",27,55,2,4
"Ethiopia",28,56,2,4
"Ethiopia",29,65,3,4
"Ethiopia",30,69,3,10
"Ethiopia",31,71,3,10
"Ethiopia",32,74,3,14
"Ethiopia",33,82,3,14
"Ethiopia",34,85,3,15
"Ethiopia",35,92,3,15
"Ethiopia",36,96,3,15
"Ethiopia",37,105,3,16
"Ethiopia",38,108,3,16
"Ethiopia",39,111,3,16
"Ethiopia",40,114,3,16
"Ethiopia",41,116,3,21
"Ethiopia",42,116,3,21
"Ethiopia",43,117,3,25
"Ethiopia",44,122,3,29
"Ethiopia",45,123,3,41
"Ethiopia",46,124,3,50
"Ethiopia",47,126,3,50
"Ethiopia",48,130,3,58
"Ethiopia",49,131,3,59
"Ethiopia",50,133,3,66
"Ethiopia",51,133,3,69
"Ethiopia",52,135,3,75
"Ethiopia",53,140,3,75
"Ethiopia",54,145,4,91
"Ethiopia",55,162,4,93
"Ethiopia",56,191,4,93
"Ethiopia",57,194,4,95
"Ethiopia",58,210,5,97
"Ethiopia",59,239,5,99
"Ethiopia",60,250,5,105
"Ethiopia",61,261,5,106
"Ethiopia",62,263,5,108
