"Country","Day","Confirmed","Deaths","Recovered"
"Ukraine",1,1,0,0
"Ukraine",2,1,0,0
"Ukraine",3,1,0,0
"Ukraine",4,1,0,0
"Ukraine",5,1,0,0
"Ukraine",6,1,0,0
"Ukraine",7,1,0,0
"Ukraine",8,1,0,0
"Ukraine",9,1,0,0
"Ukraine",10,1,0,0
"Ukraine",11,3,1,0
"Ukraine",12,3,1,0
"Ukraine",13,3,1,0
"Ukraine",14,7,1,0
"Ukraine",15,14,2,0
"Ukraine",16,14,2,0
"Ukraine",17,16,2,0
"Ukraine",18,29,3,0
"Ukraine",19,47,3,1
"Ukraine",20,73,3,1
"Ukraine",21,73,3,1
"Ukraine",22,97,3,1
"Ukraine",23,145,5,1
"Ukraine",24,196,5,1
"Ukraine",25,310,5,5
"Ukraine",26,356,9,5
"Ukraine",27,475,10,6
"Ukraine",28,548,13,8
"Ukraine",29,645,17,10
"Ukraine",30,794,20,13
"Ukraine",31,897,22,19
"Ukraine",32,1072,27,22
"Ukraine",33,1225,32,25
"Ukraine",34,1308,37,28
"Ukraine",35,1319,38,28
"Ukraine",36,1462,45,28
"Ukraine",37,1668,52,35
"Ukraine",38,1892,57,45
"Ukraine",39,2203,69,61
"Ukraine",40,2511,73,79
"Ukraine",41,2777,83,89
"Ukraine",42,3102,93,97
"Ukraine",43,3372,98,119
"Ukraine",44,3764,108,143
"Ukraine",45,4161,116,186
"Ukraine",46,4662,125,246
"Ukraine",47,5106,133,275
"Ukraine",48,5449,141,347
"Ukraine",49,5710,151,359
"Ukraine",50,6125,161,367
"Ukraine",51,6592,174,424
"Ukraine",52,7170,187,504
"Ukraine",53,7647,193,601
"Ukraine",54,8125,201,782
"Ukraine",55,8617,209,840
"Ukraine",56,9009,220,864
"Ukraine",57,9410,239,992
"Ukraine",58,9866,250,1103
"Ukraine",59,10406,261,1238
"Ukraine",60,10861,272,1413
"Ukraine",61,11411,279,1498
"Ukraine",62,11913,288,1548
"Ukraine",63,12331,303,1619
"Ukraine",64,12697,316,1875
