"Country","Day","Confirmed","Deaths","Recovered"
"Latvia",1,1,0,0
"Latvia",2,1,0,0
"Latvia",3,1,0,0
"Latvia",4,1,0,0
"Latvia",5,1,0,0
"Latvia",6,1,0,0
"Latvia",7,2,0,0
"Latvia",8,6,0,0
"Latvia",9,8,0,1
"Latvia",10,10,0,1
"Latvia",11,10,0,1
"Latvia",12,17,0,1
"Latvia",13,26,0,1
"Latvia",14,30,0,1
"Latvia",15,34,0,1
"Latvia",16,49,0,1
"Latvia",17,71,0,1
"Latvia",18,86,0,1
"Latvia",19,111,0,1
"Latvia",20,124,0,1
"Latvia",21,139,0,1
"Latvia",22,180,0,1
"Latvia",23,197,0,1
"Latvia",24,221,0,1
"Latvia",25,244,0,1
"Latvia",26,280,0,1
"Latvia",27,305,0,1
"Latvia",28,347,0,1
"Latvia",29,376,0,1
"Latvia",30,398,0,1
"Latvia",31,446,0,1
"Latvia",32,458,0,31
"Latvia",33,493,1,1
"Latvia",34,509,1,1
"Latvia",35,533,1,1
"Latvia",36,542,1,16
"Latvia",37,548,2,16
"Latvia",38,577,2,16
"Latvia",39,589,3,16
"Latvia",40,612,3,16
"Latvia",41,630,3,16
"Latvia",42,651,5,16
"Latvia",43,655,5,16
"Latvia",44,657,5,16
"Latvia",45,666,5,44
"Latvia",46,675,5,57
"Latvia",47,682,5,88
"Latvia",48,712,5,88
"Latvia",49,727,5,88
"Latvia",50,739,5,88
"Latvia",51,748,9,133
"Latvia",52,761,11,133
"Latvia",53,778,11,133
"Latvia",54,784,12,267
"Latvia",55,804,12,267
"Latvia",56,812,12,267
"Latvia",57,818,13,267
"Latvia",58,836,13,267
"Latvia",59,849,15,348
"Latvia",60,858,15,348
"Latvia",61,870,16,348
"Latvia",62,871,16,348
"Latvia",63,879,16,348
"Latvia",64,896,16,348
"Latvia",65,896,17,348
"Latvia",66,900,17,464
"Latvia",67,909,18,464
"Latvia",68,928,18,464
"Latvia",69,930,18,464
"Latvia",70,939,18,464
"Latvia",71,946,18,464
"Latvia",72,950,18,627
"Latvia",73,951,19,627
