"Country","Day","Confirmed","Deaths","Recovered"
"Bahamas",1,4,0,0
"Bahamas",2,4,0,0
"Bahamas",3,5,0,1
"Bahamas",4,5,0,1
"Bahamas",5,9,0,1
"Bahamas",6,10,0,1
"Bahamas",7,10,0,1
"Bahamas",8,11,0,1
"Bahamas",9,14,0,1
"Bahamas",10,14,0,1
"Bahamas",11,21,1,1
"Bahamas",12,24,1,1
"Bahamas",13,24,1,1
"Bahamas",14,28,4,0
"Bahamas",15,28,4,0
"Bahamas",16,29,5,4
"Bahamas",17,33,6,5
"Bahamas",18,40,7,5
"Bahamas",19,41,8,5
"Bahamas",20,42,8,5
"Bahamas",21,46,8,5
"Bahamas",22,46,8,5
"Bahamas",23,47,8,6
"Bahamas",24,49,8,6
"Bahamas",25,49,8,6
"Bahamas",26,53,8,6
