"Country","Day","Confirmed","Deaths","Recovered"
"UK",1,2,0,0
"UK",2,2,0,0
"UK",3,2,0,0
"UK",4,2,0,0
"UK",5,2,0,0
"UK",6,2,0,0
"UK",7,2,0,0
"UK",8,3,0,0
"UK",9,3,0,0
"UK",10,3,0,0
"UK",11,8,0,0
"UK",12,8,0,0
"UK",13,9,0,1
"UK",14,9,0,1
"UK",15,9,0,1
"UK",16,9,0,1
"UK",17,9,0,8
"UK",18,9,0,8
"UK",19,9,0,8
"UK",20,9,0,8
"UK",21,9,0,8
"UK",22,9,0,8
"UK",23,9,0,8
"UK",24,9,0,8
"UK",25,13,0,8
"UK",26,13,0,8
"UK",27,13,0,8
"UK",28,15,0,8
"UK",29,20,0,8
"UK",30,23,0,8
"UK",31,36,0,8
"UK",32,40,0,8
"UK",33,51,0,8
"UK",34,85,0,8
"UK",35,115,1,8
"UK",36,163,2,8
"UK",37,206,2,18
"UK",38,273,3,18
"UK",39,321,4,18
"UK",40,382,6,18
"UK",41,459,8,19
"UK",42,459,8,19
"UK",43,801,8,19
"UK",44,1143,21,19
"UK",45,1144,21,19
"UK",46,1551,56,21
"UK",47,1960,56,53
"UK",48,2642,72,67
"UK",49,2716,138,67
"UK",50,4014,178,67
"UK",51,5067,234,67
"UK",52,5741,282,95
"UK",53,6726,336,140
"UK",54,8164,423,140
"UK",55,9640,466,140
"UK",56,11812,580,150
"UK",57,14745,761,151
"UK",58,17312,1021,151
"UK",59,19780,1231,151
"UK",60,22453,1411,171
"UK",61,25481,1793,179
"UK",62,29865,2357,179
"UK",63,34173,2926,192
"UK",64,38689,3611,208
"UK",65,42477,4320,215
"UK",66,48436,4943,229
"UK",67,52279,5385,287
"UK",68,55949,6171,325
"UK",69,61474,7111,345
"UK",70,65872,7993,359
"UK",71,74605,8974,588
"UK",72,79874,9892,622
"UK",73,85206,10629,626
"UK",74,89570,11347,304
"UK",75,94845,12129,323
"UK",76,99483,12894,368
"UK",77,104145,13759,375
"UK",78,109769,14607,394
"UK",79,115314,15498,414
"UK",80,121172,16095,436
"UK",81,125856,16550,446
"UK",82,130172,17378,638
"UK",83,134638,18151,683
"UK",84,139246,18791,712
"UK",85,144640,19567,724
"UK",86,149569,20381,774
"UK",87,154037,20794,778
"UK",88,158348,21157,807
"UK",89,162350,21745,813
"UK",90,166441,26166,857
"UK",91,172481,26842,859
"UK",92,178685,27583,892
"UK",93,183500,28205,896
"UK",94,187842,28520,901
"UK",95,191832,28809,910
"UK",96,196243,29501,926
"UK",97,202359,30150,934
"UK",98,207977,30689,970
"UK",99,212629,31316,997
"UK",100,216525,31662,1001
"UK",101,220449,31930,1002
"UK",102,224332,32141,1015
"UK",103,227741,32769,1023
"UK",104,230985,33264,1032
