"Country","Day","Confirmed","Deaths","Recovered"
"Gabon",1,1,0,0
"Gabon",2,1,0,0
"Gabon",3,1,0,0
"Gabon",4,1,0,0
"Gabon",5,1,0,0
"Gabon",6,1,0,0
"Gabon",7,3,1,0
"Gabon",8,4,1,0
"Gabon",9,5,1,0
"Gabon",10,5,1,0
"Gabon",11,6,1,0
"Gabon",12,6,1,0
"Gabon",13,7,1,0
"Gabon",14,7,1,0
"Gabon",15,7,1,0
"Gabon",16,7,1,0
"Gabon",17,7,1,0
"Gabon",18,16,1,0
"Gabon",19,18,1,0
"Gabon",20,21,1,0
"Gabon",21,21,1,1
"Gabon",22,21,1,1
"Gabon",23,21,1,1
"Gabon",24,24,1,1
"Gabon",25,30,1,1
"Gabon",26,34,1,1
"Gabon",27,44,1,1
"Gabon",28,44,1,1
"Gabon",29,46,1,1
"Gabon",30,49,1,1
"Gabon",31,57,1,1
"Gabon",32,57,1,1
"Gabon",33,80,1,4
"Gabon",34,80,1,4
"Gabon",35,108,1,7
"Gabon",36,108,1,7
"Gabon",37,109,1,7
"Gabon",38,120,1,7
"Gabon",39,156,1,16
"Gabon",40,166,1,24
"Gabon",41,167,2,24
"Gabon",42,172,3,26
"Gabon",43,176,3,30
"Gabon",44,176,3,30
"Gabon",45,211,3,43
"Gabon",46,238,3,53
"Gabon",47,276,3,67
"Gabon",48,276,3,67
"Gabon",49,276,3,67
"Gabon",50,335,5,85
"Gabon",51,335,5,85
"Gabon",52,367,6,93
"Gabon",53,397,6,93
